wave(air/A)  wave(vac/A)  f1     f2
  7340.812    7342.834    8-3    P1e(3.5)
  7340.957    7342.980    8-3    P1f(3.5)
  7346.944    7348.968    7-2   P2f(12.5)
  7347.861    7349.885    7-2   P2e(12.5)
  7350.640    7352.665    7-2   P1e(13.5)
  7352.104    7354.130    7-2   P1f(13.5)
  7358.657    7360.684    8-3    P2e(3.5)
  7358.662    7360.689    8-3    P2f(3.5)
  7369.248    7371.278    8-3    P1e(4.5)
  7369.483    7371.513    8-3    P1f(4.5)
  7392.169    7394.205    8-3    P2f(4.5)
  7392.228    7394.264    8-3    P2e(4.5)
  7401.688    7403.727    8-3    P1e(5.5)
  7402.029    7404.068    8-3    P1f(5.5)
  7412.690    7414.732    7-2   P2f(13.5)
  7413.759    7415.801    7-2   P2e(13.5)
  7416.112    7418.155    7-2   P1e(14.5)
  7417.776    7419.819    7-2   P1f(14.5)
  7429.712    7431.758    8-3    P2f(5.5)
  7429.849    7431.895    8-3    P2e(5.5)
  7438.243    7440.292    8-3    P1e(6.5)
  7438.702    7440.751    8-3    P1f(6.5)
  7461.206    7463.261    4-0    R1f(5.5)
  7461.271    7463.326    4-0    R1e(5.5)
  7462.385    7464.440    4-0    R1f(4.5)
  7462.464    7464.519    4-0    R1e(4.5)
  7464.830    7466.886    4-0    R2e(3.5)
  7464.906    7466.962    4-0    R2f(3.5)
  7466.569    7468.625    4-0    R1f(3.5)
  7466.652    7468.708    4-0    R1e(3.5)
  7470.682    7472.739    4-0    R2e(2.5)
  7470.732    7472.790    4-0    R2f(2.5)
  7471.359    7473.417    8-3    P2f(6.5)
  7471.586    7473.644    8-3    P2e(6.5)
  7473.642    7475.700    4-0    R1f(2.5)
  7473.714    7475.772    4-0    R1e(2.5)
  7479.015    7481.075    8-3    P1e(7.5)
  7479.605    7481.665    8-3    P1f(7.5)
  7480.247    7482.307    4-0    R2e(1.5)
  7480.258    7482.318    4-0    R2f(1.5)
  7483.451    7485.512    4-0    R1f(1.5)
  7483.501    7485.562    4-0    R1e(1.5)
  7493.653    7495.717    4-0    R2f(0.5)
  7493.687    7495.751    4-0    R2e(0.5)
  7517.212    7519.282    8-3    P2f(7.5)
  7517.540    7519.610    8-3    P2e(7.5)
  7522.579    7524.650    4-0    Q2f(0.5)
  7522.740    7524.812    4-0    Q2e(0.5)
  7523.967    7526.039    4-0    Q1f(1.5)
  7524.021    7526.093    4-0    Q1e(1.5)
  7524.111    7526.183    8-3    P1e(8.5)
  7524.844    7526.916    8-3    P1f(8.5)
  7530.615    7532.689    4-0    Q1f(2.5)
  7530.811    7532.885    4-0    Q1e(2.5)
  7540.160    7542.236    4-0    Q1f(3.5)
  7540.602    7542.678    4-0    Q1e(3.5)
  7552.729    7554.809    4-0    Q1f(4.5)
  7553.521    7555.601    4-0    Q1e(4.5)
  7557.454    7559.535    4-0    P2e(1.5)
  7557.530    7559.611    4-0    P2f(1.5)
  7567.402    7569.486    8-3    P2f(8.5)
  7567.842    7569.926    8-3    P2e(8.5)
  7571.699    7573.784    4-0    P1e(2.5)
  7571.792    7573.877    4-0    P1f(2.5)
  7573.651    7575.736    8-3    P1e(9.5)
  7574.542    7576.628    8-3    P1f(9.5)
  7586.077    7588.166    4-0    P2e(2.5)
  7586.109    7588.198    4-0    P2f(2.5)
  7598.356    7600.448    4-0    P1e(3.5)
  7598.530    7600.622    4-0    P1f(3.5)
  7618.034    7620.131    4-0    P2f(3.5)
  7618.067    7620.164    4-0    P2e(3.5)
  7622.077    7624.175    8-3    P2f(9.5)
  7622.642    7624.740    8-3    P2e(9.5)
  7627.771    7629.871    8-3   P1e(10.5)
  7628.489    7630.589    4-0    P1e(4.5)
  7628.489    7630.589    4-0    P1e(4.5)
  7628.759    7630.859    4-0    P1f(4.5)
  7628.759    7630.859    4-0    P1f(4.5)
  7628.834    7630.934    8-3   P1f(10.5)
  7662.175    7664.284    4-0    P1e(5.5)
  7662.549    7664.658    4-0    P1f(5.5)
  7681.410    7683.524    8-3   P2f(10.5)
  7682.112    7684.227    8-3   P2e(10.5)
