lambda_air(A),lambda_vac(A),FWHM(A),Flux(10^-16^erg/s/cm2/{AA})
3888.6414,3889.743,0.15,0.6686
3890.0657,3891.168,0.099,0.2127
3904.5752,3905.681,0.1182,0.4027
3904.8369,3905.943,0.1196,0.3804
3905.2898,3906.396,0.1151,0.3147
3905.8674,3906.974,0.0773,0.3477
3906.5217,3907.628,0.3396,0.2323
3906.6548,3907.761,0.0935,0.3425
3907.3726,3908.479,0.0582,0.4886
3907.6055,3908.712,0.0946,0.5377
3908.3855,3909.493,0.1106,0.3835
3908.7356,3909.843,0.0874,0.3878
3909.6064,3910.714,0.1404,0.3588
3910.0293,3911.137,0.077,0.4684
3910.9512,3912.059,0.0933,0.3843
3911.4727,3912.581,0.0883,0.3999
3912.4846,3913.593,0.1034,0.464
3913.6907,3914.799,0.0952,0.2797
3914.1921,3915.301,0.0828,0.4562
3914.6953,3915.804,0.1037,0.2579
3914.9451,3916.054,0.1129,0.3355
3916.0845,3917.194,0.0963,0.3895
3916.9219,3918.031,0.0962,0.2882
3918.1409,3919.251,0.1159,0.3204
3918.4622,3919.572,0.0684,0.2395
3919.0793,3920.189,0.1195,0.2634
3920.3784,3921.489,0.0941,0.3278
3921.1182,3922.229,0.1017,0.2127
3921.4036,3922.514,0.0869,0.2214
3922.7874,3923.898,0.0943,0.3253
3923.5964,3924.707,0.0733,0.2266
3923.9041,3925.015,0.1655,0.2125
3925.3721,3926.484,0.0982,0.3156
3926.2659,3927.378,0.1524,0.1825
3926.6111,3927.723,0.0934,0.1493
3927.835,3928.947,0.089,0.1966
3928.1396,3929.252,0.0748,0.3174
3929.0977,3930.21,0.0593,0.1842
3929.4673,3930.58,0.0773,0.1674
3931.0825,3932.195,0.093,0.3032
3932.5195,3933.633,0.0521,0.3614
3937.4954,3938.61,0.065,0.1819
3939.5325,3940.648,0.0936,0.1883
3939.8372,3940.952,0.1088,0.2212
3940.5105,3941.626,0.0281,0.1932
3940.9724,3942.088,0.1046,0.2094
3941.1692,3942.285,0.093,0.2211
3941.7314,3942.847,0.1349,0.2836
3942.8479,3943.964,0.2803,0.3108
3943.5229,3944.639,0.1337,0.3778
3945.2131,3946.33,0.1026,0.3052
3945.5115,3946.628,0.0815,0.2182
3945.6331,3946.75,0.0362,0.2
3945.8608,3946.978,0.0974,0.3728
3948.0754,3949.193,0.1504,0.2781
3948.4072,3949.525,0.1638,0.2312
3948.7307,3949.848,0.0983,0.3406
3951.2712,3952.389,0.1649,0.1803
3951.5422,3952.661,0.4358,0.2432
3951.8115,3952.93,0.1021,0.2229
3952.1814,3953.3,0.1068,0.2394
3953.4277,3954.547,0.0329,0.2054
3953.9563,3955.075,0.0798,0.2602
3955.4446,3956.564,0.0868,0.2176
3955.5955,3956.715,0.0617,0.2035
3955.7886,3956.908,0.0897,0.2035
3956.1753,3957.295,0.1065,0.2153
3956.7029,3957.823,0.0828,0.2043
3959.6155,3960.736,0.0434,0.1184
3959.7803,3960.901,0.0494,0.15
3960.1375,3961.258,0.0522,0.1675
3960.3359,3961.457,0.0892,0.1797
3960.7327,3961.853,0.214,0.179
3961.5901,3962.711,0.0958,0.2003
3973.9233,3975.047,0.1242,0.3001
3974.3582,3975.482,0.1892,0.1777
3974.8506,3975.975,0.0679,0.2026
3977.4807,3978.606,0.1754,0.2448
