lambda_air(A)  lambda_vac(A)  FWHM(A)  Flux(10^-16^erg/s/cm2/{AA})
  9310.7617    9313.3170  0.2645    2.9120
  9312.9043    9315.4600  0.2540   10.2950
  9313.3457    9315.9010  0.2382   34.7735
  9316.4717    9319.0280  0.1547    0.2722
  9317.8203    9320.3770  0.3781    3.0970
  9322.4805    9325.0380  0.2245   10.9019
  9323.7627    9326.3210  0.2311   33.9415
  9330.5557    9333.1160  0.2570    1.1287
  9331.1133    9333.6740  0.3779    1.3131
  9337.8740    9340.4360  0.2364   12.6347
  9346.5957    9349.1600  0.2347    0.1628
  9347.0566    9349.6210  0.1784    0.1560
  9348.2588    9350.8240  0.3274    0.4397
  9348.5869    9351.1520  0.2388    1.0165
  9349.5820    9352.1470  0.3013    0.7309
  9349.8418    9352.4070  0.1964    0.7062
  9350.3145    9352.8800  0.2412    0.2792
  9351.7266    9354.2930  0.2384    0.5202
  9354.6904    9357.2570  0.2332    0.2942
  9361.3037    9363.8720  0.2302    0.7874
  9362.2441    9364.8130  0.2234    0.7569
  9367.8828    9370.4530  0.2269    1.2258
  9372.1318    9374.7030  0.2270    0.7551
  9373.4150    9375.9870  0.2195    0.6327
  9373.8281    9376.4000  0.2474    0.6451
  9374.3379    9376.9100  0.3557    6.6110
  9375.9766    9378.5490  0.2379   89.7287
  9382.7812    9385.3560  0.3025    1.4524
  9383.0801    9385.6550  0.2576    1.5253
  9386.7949    9389.3700  0.3064    9.7780
  9394.3311    9396.9090  0.2359    0.2527
  9396.9199    9399.4980  0.2468    0.6356
  9397.2803    9399.8590  0.2354    0.7369
  9401.2754    9403.8550  0.2908    0.5924
  9401.8574    9404.4370  0.2368    6.3829
  9402.3359    9404.9160  0.2220    6.1549
  9402.7158    9405.2960  0.2607    0.5419
  9403.2891    9405.8690  0.2286    0.4407
  9404.9453    9407.5260  0.4059    0.1268
  9405.1152    9407.6960  0.2252    0.1257
  9416.6162    9419.2000  0.3040    0.3082
  9416.8867    9419.4700  0.2502    0.3143
  9419.7461    9422.3300  0.2654   18.4213
  9421.8613    9424.4460  0.2448    0.2584
  9422.7363    9425.3210  0.2223    2.0675
  9433.3438    9435.9320  0.4375    0.1270
  9436.1592    9438.7480  0.3940    0.3282
  9438.4531    9441.0430  0.2024    0.3599
  9439.6699    9442.2600  0.2600   58.1552
  9441.7822    9444.3730  0.2379    0.1786
  9442.2627    9444.8530  0.2207    0.8717
  9443.4141    9446.0050  0.1787    0.1304
  9446.7949    9449.3870  0.2196    0.6457
  9448.2578    9450.8500  0.2530    1.5851
  9450.1240    9452.7170  0.2101    0.8560
  9455.3174    9457.9110  0.2291    0.4011
  9457.7764    9460.3710  0.3224    0.2989
  9458.5244    9461.1190  0.2445   27.0894
  9476.8955    9479.4950  0.3836   39.9477
  9478.5459    9481.1460  0.2429    0.3080
  9479.4385    9482.0390  0.3070    0.2140
  9483.0361    9485.6380  0.2732    0.4525
  9484.1719    9486.7740  0.2405    0.1891
  9490.5303    9493.1340  0.2786    0.8887
  9495.0312    9497.6360  0.4857    0.1323
  9497.9365    9500.5420  0.2465    0.1300
  9499.9619    9502.5680  0.2817    0.1717
  9502.8350    9505.4420  0.2354   21.7464
  9504.7119    9507.3190  0.1788    0.1595
  9519.2051    9521.8160  0.2415   24.7207
  9519.5391    9522.1500  0.2573   26.0261
  9525.4131    9528.0260  0.2822    0.1271
  9526.5488    9529.1620  0.1867    0.1421
  9529.1592    9531.7730  0.2270    0.7958
  9530.4951    9533.1090  0.2340    0.6528
  9534.7256    9537.3410  0.2273    0.9731
  9536.8926    9539.5090  0.3083    1.2238
  9537.1035    9539.7200  0.3430    0.8751
